912,15
325,13
342,34
935,41
199,21
912,27
240,9
314,27
1091,27
724,38
763,20
120,32
357,5
439,50
645,13
507,30
601,37
648,46
973,36
591,22
810,4
1002,50
366,19
780,6
898,3
996,9
675,14
540,7
447,5
582,17
891,11
671,14
923,42
434,17
901,45
713,34
172,35
404,7
1025,5
634,41
679,50
868,20
381,27
996,44
348,43
526,4
271,13
334,7
823,33
692,37
393,18
1033,27
1066,50
697,2
917,42
253,7
902,31
888,43
467,41
1047,22
1043,32
635,21
701,25
1086,30
314,32
173,12
103,9
193,22
913,40
827,32
136,29
341,38
112,28
880,28
318,25
951,10
407,34
231,8
459,14
535,19
993,2
379,43
809,15
809,16
650,30
741,31
604,23
361,9
846,34
478,5
1051,20
1057,48
896,28
1095,42
480,17
651,9
858,16
441,1
767,35
552,3
401,29
1068,38
239,14
232,16
531,45
755,15
997,45
545,24
953,22
1099,12
120,29
403,6
275,21
137,21
586,18
302,15
175,47
831,41
989,38
983,46
257,13
935,29
383,5
977,9
949,48
243,39
300,19
517,44
960,26
1084,16
163,6
349,7
925,1
567,30
706,18
245,31
1097,44
1025,46
114,17
620,28
528,27
581,42
308,11
848,30
548,45
609,23
463,18
841,46
577,17
736,42
742,36
1029,45
589,10
1099,10
833,22
542,17
1003,27
315,15
992,16
999,44
863,8
371,30
979,13
478,8
380,13
599,21
600,27
366,39
788,11
646,20
582,36
1084,31
1059,44
293,47
956,36
336,14
290,50
888,15
306,8
565,30
965,7
191,7
877,49
487,4
401,24
663,23
1049,39
943,46
521,26
531,13
251,6
665,27
294,40
177,36
635,28
1000,33
619,27
877,31
460,47
518,44
205,16
549,35
636,26
714,36
431,26
982,12
812,27
570,34
247,26
1049,10
181,27
470,29
931,22
986,16
1046,30
937,26
370,9
837,31
660,23
843,15
122,46
101,8
147,41
716,15
738,36
245,41
483,36
389,33
729,42
119,44
191,22
338,29
851,43
227,26
1032,35
908,20
198,23
743,8
980,24
1038,30
873,46
934,17
646,36
1064,35
990,43
441,42
528,39
381,39
241,19
526,32
962,43
1061,18
725,13
784,12
893,28
700,21
381,38
394,30
229,12
319,23
911,14
1018,42
807,3
433,1
624,10
286,37
655,49
356,29
761,40
341,3
568,38
1023,47
926,17
224,2
124,41
323,32
902,37
1069,5
334,47
702,3
1053,31
486,50
572,33
323,27
566,4
922,26
935,36
663,1
592,27
592,6
1009,3
327,48
478,35
192,50
822,31
340,10
748,11
797,6
881,5
217,32
995,24
142,14
295,39
348,20
900,24
158,39
409,17
1020,19
785,43
250,36
303,20
677,31
961,1
268,21
785,11
830,7
813,48
249,35
964,22
530,38
1072,14
953,6
705,47
548,15
713,21
273,41
913,20
944,46
595,32
237,49
866,39
975,49
558,45
303,39
985,2
546,25
1033,17
697,6
332,11
736,11
549,26
566,26
461,24
838,19
871,38
232,49
289,20
561,10
926,24
510,23
836,17
459,31
